sales,quantity,discount,category,subcategory,ship_mode,segment,country,city,state,region,target,order_month,order_year
79.76,4,0.0,0,9,3,0,0,266,3,3,1,11,2018
213.115,5,0.3,0,5,3,2,0,80,11,0,0,4,2018
1113.024,8,0.2,1,2,3,1,0,166,1,3,1,12,2017
167.968,4,0.2,2,13,3,1,0,166,1,3,1,12,2017
75.88,2,0.0,1,12,0,0,0,464,44,2,1,6,2019
4.616,1,0.2,1,3,3,0,0,329,30,1,1,9,2019
19.05,3,0.0,1,12,2,0,0,215,20,0,1,9,2020
831.936,8,0.2,0,5,3,0,0,289,40,2,0,4,2018
97.04,2,0.2,0,9,3,0,0,289,40,2,1,4,2018
72.784,1,0.2,1,14,3,0,0,289,40,2,0,4,2018
1.248,3,0.8,1,3,0,1,0,207,41,0,0,12,2020
9.708,3,0.6,0,9,0,1,0,207,41,0,0,12,2020
27.24,3,0.2,1,14,0,1,0,207,41,0,1,12,2020
19.3,5,0.6,0,9,2,0,0,207,41,0,0,11,2017
208.16,1,0.0,1,1,0,1,0,116,0,2,1,6,2019
16.74,3,0.0,1,3,0,1,0,116,0,2,1,6,2019
14.9,5,0.0,1,2,3,0,0,438,3,3,1,10,2017
21.39,1,0.0,1,14,3,0,0,438,3,3,1,10,2017
200.984,7,0.2,1,7,3,1,0,128,31,2,1,9,2018
230.376,3,0.2,1,14,0,2,0,80,11,0,0,11,2020
301.96,2,0.0,0,5,2,0,0,93,38,2,1,5,2020
19.99,1,0.0,2,0,3,0,0,410,21,0,1,10,2020
6.16,2,0.0,1,10,3,0,0,410,21,0,1,10,2020
158.368,7,0.2,1,14,2,2,0,207,41,0,1,4,2019
20.1,3,0.0,1,2,3,1,0,266,3,3,1,9,2019
73.584,2,0.2,2,13,3,1,0,266,3,3,1,9,2019
6.48,1,0.0,1,12,3,1,0,266,3,3,1,9,2019
12.96,2,0.0,1,12,2,0,0,300,21,0,1,1,2018
53.34,3,0.0,0,9,2,0,0,300,21,0,1,1,2018
32.96,2,0.0,1,3,2,0,0,300,21,0,1,1,2018
5.682,1,0.7,1,3,3,2,0,389,35,3,0,11,2020
96.53,7,0.0,0,9,2,2,0,329,30,1,1,11,2020
51.312,3,0.2,1,3,0,0,0,438,3,3,1,6,2020
77.88,6,0.0,1,1,3,1,0,427,21,0,1,9,2019
64.624,7,0.2,1,12,3,2,0,80,11,0,1,8,2019
95.976,3,0.2,2,0,3,2,0,80,11,0,0,8,2019
1.788,3,0.8,1,3,3,2,0,80,11,0,0,8,2019
23.92,4,0.0,1,12,2,0,0,410,21,0,1,12,2019
238.896,6,0.2,2,0,3,0,0,24,4,3,0,11,2018
102.36,3,0.2,0,9,3,0,0,24,4,3,0,11,2018
36.882,3,0.7,1,3,3,0,0,24,4,3,0,11,2018
74.112,8,0.2,2,0,3,0,0,74,31,2,1,11,2020
27.992,1,0.2,2,13,3,0,0,74,31,2,1,11,2020
3.304,1,0.2,1,2,3,0,0,74,31,2,1,11,2020
339.96,5,0.2,2,0,3,2,0,352,11,0,1,10,2018
41.96,2,0.0,0,9,3,1,0,329,30,1,1,12,2020
75.96,2,0.0,1,2,3,0,0,494,13,0,1,11,2019
27.24,6,0.0,1,3,3,0,0,494,13,0,1,11,2019
40.096,14,0.2,1,8,2,0,0,94,33,1,1,8,2017
4.72,2,0.2,1,7,2,0,0,94,33,1,1,8,2017
23.976,3,0.2,1,12,2,0,0,94,33,1,1,8,2017
130.464,6,0.2,1,7,2,0,0,94,33,1,1,8,2017
787.53,3,0.0,0,16,3,0,0,452,45,3,1,3,2018
157.794,1,0.7,1,3,3,1,0,51,40,2,0,4,2018
47.04,3,0.0,0,9,0,0,0,521,6,1,1,6,2019
30.84,4,0.0,1,3,0,0,0,521,6,1,1,6,2019
226.56,6,0.0,1,14,0,0,0,521,6,1,1,6,2019
115.02,9,0.0,1,7,0,0,0,521,6,1,1,6,2019
68.04,7,0.0,2,13,0,0,0,521,6,1,1,6,2019
600.558,3,0.3,0,5,2,2,0,207,41,0,0,12,2017
617.7,6,0.5,0,16,3,0,0,41,11,0,0,9,2017
2.388,2,0.7,1,3,3,0,0,375,1,3,0,11,2020
243.992,7,0.2,1,14,3,0,0,375,1,3,1,11,2020
81.424,2,0.2,0,5,2,2,0,266,3,3,0,11,2019
238.56,3,0.0,0,9,2,2,0,266,3,3,1,11,2019
59.97,5,0.4,2,13,0,1,0,94,33,1,0,2,2020
78.304,2,0.2,1,12,0,1,0,94,33,1,1,2,2020
21.456,9,0.2,1,8,0,1,0,94,33,1,1,2,2020
20.04,3,0.0,1,12,3,0,0,418,3,3,1,10,2019
35.44,1,0.0,1,12,3,0,0,418,3,3,1,10,2019
11.52,4,0.0,1,2,3,0,0,418,3,3,1,10,2019
4.02,2,0.0,1,8,3,0,0,418,3,3,1,10,2019
76.176,3,0.2,1,3,3,0,0,418,3,3,1,10,2019
65.88,6,0.0,1,15,3,0,0,418,3,3,1,10,2019
43.12,14,0.0,0,9,3,0,0,418,3,3,1,10,2019
82.8,2,0.2,0,9,2,1,0,374,36,1,1,9,2019
8.82,3,0.0,1,2,3,1,0,438,3,3,1,9,2020
10.86,3,0.0,1,7,3,1,0,438,3,3,1,9,2020
143.7,3,0.0,1,12,3,1,0,438,3,3,1,9,2020
839.43,3,0.0,1,1,3,0,0,210,23,0,1,12,2020
671.93,7,0.0,1,14,3,0,0,364,3,3,1,9,2018
93.888,4,0.2,0,9,3,2,0,330,33,1,1,10,2017
384.45,11,0.0,2,13,3,1,0,156,47,0,1,12,2019
149.97,3,0.0,2,13,3,1,0,156,47,0,1,12,2019
1951.84,8,0.0,0,5,3,1,0,156,47,0,1,12,2019
171.55,5,0.0,1,3,3,1,0,156,47,0,1,12,2019
157.92,5,0.2,1,1,0,2,0,451,1,3,1,3,2019
203.184,2,0.2,2,13,0,2,0,451,1,3,1,3,2019
58.38,7,0.0,1,12,0,1,0,440,3,3,1,5,2018
105.52,4,0.0,1,12,0,1,0,440,3,3,1,5,2018
80.88,6,0.0,1,14,0,1,0,440,3,3,1,5,2018
6.63,3,0.0,1,2,3,2,0,452,45,3,1,5,2018
457.568,2,0.2,0,5,2,0,0,452,45,3,1,3,2017
14.62,2,0.0,1,10,3,0,0,134,34,0,1,11,2019
944.93,7,0.0,2,13,3,0,0,134,34,0,1,11,2019
5.98,1,0.0,1,12,0,0,0,266,3,3,1,5,2019
54.384,2,0.2,2,0,2,0,0,374,36,1,1,12,2018
28.4,5,0.0,1,7,3,0,0,65,29,3,1,11,2019
27.68,2,0.2,1,3,3,0,0,452,45,3,1,11,2019
9.936,3,0.2,1,2,3,0,0,434,41,0,1,9,2017
8159.952,8,0.4,2,11,3,0,0,434,41,0,0,9,2017
275.928,3,0.2,1,14,3,0,0,434,41,0,0,9,2017
1740.06,9,0.3,0,5,3,0,0,434,41,0,0,9,2017
32.064,6,0.2,1,2,3,0,0,434,41,0,1,9,2017
177.98,5,0.8,1,1,3,0,0,434,41,0,0,9,2017
143.976,3,0.2,2,13,3,0,0,434,41,0,1,9,2017
20.94,3,0.0,1,12,3,0,0,266,3,3,1,8,2017
110.96,2,0.0,1,12,3,0,0,266,3,3,1,8,2017
340.144,7,0.2,0,5,3,0,0,266,3,3,1,8,2017
52.448,2,0.8,1,1,3,1,0,80,11,0,0,9,2017
20.16,4,0.2,1,10,3,1,0,80,11,0,1,9,2017
97.264,4,0.8,1,1,2,0,0,207,41,0,0,4,2020
396.802,7,0.3,0,5,2,0,0,330,33,1,0,11,2018
15.88,5,0.2,1,15,2,0,0,330,33,1,0,11,2018
3.28,1,0.0,1,2,3,2,0,329,30,1,1,12,2018
24.816,2,0.2,1,14,2,1,0,116,11,0,1,12,2017
408.744,7,0.2,2,0,2,1,0,116,11,0,1,12,2017
503.96,4,0.0,2,13,2,2,0,308,16,2,1,11,2017
149.95,5,0.0,2,13,2,2,0,308,16,2,1,11,2017
29.0,2,0.0,2,0,2,2,0,308,16,2,1,11,2017
7.16,2,0.0,1,3,3,0,0,147,5,1,1,11,2019
176.8,8,0.0,2,0,3,2,0,266,3,3,1,8,2017
37.224,3,0.2,1,14,3,1,0,172,41,0,1,7,2019
20.016,3,0.2,1,12,3,1,0,172,41,0,1,7,2019
899.136,4,0.2,0,4,0,2,0,329,30,1,1,10,2018
71.76,6,0.0,2,13,0,2,0,329,30,1,1,10,2018
51.84,8,0.0,1,12,0,2,0,329,30,1,1,10,2018
626.352,3,0.2,0,4,0,2,0,329,30,1,1,10,2018
19.9,5,0.0,1,2,0,2,0,329,30,1,1,10,2018
14.28,7,0.0,1,7,3,1,0,399,3,3,1,10,2018
7.408,2,0.2,1,2,3,0,0,187,33,1,1,3,2017
6.048,3,0.2,1,2,3,0,0,187,33,1,1,3,2017
46.26,3,0.0,1,14,3,2,0,515,28,1,1,11,2020
2.946,2,0.7,1,3,3,1,0,374,36,1,0,7,2020
16.056,3,0.2,1,12,3,1,0,374,36,1,1,7,2020
21.744,3,0.2,1,12,3,0,0,2,33,1,1,6,2020
218.75,2,0.5,0,16,0,0,0,120,4,3,0,8,2017
2.6,1,0.2,1,1,0,0,0,120,4,3,1,8,2017
66.284,2,0.8,1,1,2,0,0,109,41,0,0,12,2020
35.168,7,0.2,0,9,3,1,0,156,40,2,1,6,2020
444.768,4,0.2,2,13,3,0,0,519,3,3,1,12,2020
83.92,4,0.0,1,14,3,0,0,423,20,0,1,12,2020
131.98,2,0.0,2,13,3,0,0,423,20,0,1,12,2020
15.92,4,0.0,1,3,3,0,0,423,20,0,1,12,2020
52.29,9,0.0,1,8,3,0,0,423,20,0,1,12,2020
91.99,1,0.0,1,14,3,0,0,423,20,0,1,12,2020
20.8,2,0.2,2,0,2,1,0,109,41,0,1,2,2018
23.68,2,0.2,1,10,3,1,0,287,33,1,1,1,2018
452.45,5,0.5,0,4,3,1,0,287,33,1,0,1,2018
62.982,3,0.4,2,13,3,1,0,287,33,1,0,1,2018
1188.0,9,0.7,2,11,3,1,0,287,33,1,0,1,2018
89.584,2,0.2,2,0,3,1,0,287,33,1,1,1,2018
93.06,6,0.0,1,14,3,0,0,266,3,3,1,10,2019
302.376,3,0.2,2,13,3,0,0,266,3,3,1,10,2019
5.584,2,0.2,1,8,0,0,0,126,33,1,1,12,2018
22.704,6,0.2,1,12,0,0,0,126,33,1,1,12,2018
19.776,4,0.7,1,3,0,0,0,126,33,1,0,12,2018
72.704,4,0.2,0,9,0,0,0,126,33,1,1,12,2018
479.988,4,0.7,2,11,0,0,0,126,33,1,0,12,2018
27.168,2,0.2,1,2,0,0,0,126,33,1,1,12,2018
2.2,1,0.0,1,2,3,1,0,123,20,0,1,8,2018
622.45,5,0.0,0,16,3,1,0,123,20,0,1,8,2018
21.98,1,0.0,1,14,3,1,0,123,20,0,1,8,2018
161.568,2,0.2,0,5,3,0,0,93,40,2,0,2,2018
389.696,8,0.2,0,5,3,0,0,93,40,2,1,2,2018
18.648,7,0.7,1,3,3,1,0,74,31,2,0,9,2017
233.86,2,0.45,0,16,3,2,0,473,8,2,0,4,2020
620.6145,3,0.45,0,16,3,2,0,473,8,2,0,4,2020
5.328,2,0.7,1,3,3,2,0,473,8,2,0,4,2020
258.072,3,0.2,0,9,3,2,0,473,8,2,0,4,2020
617.976,3,0.2,2,0,3,2,0,473,8,2,0,4,2020
10.56,2,0.0,1,12,3,1,0,448,3,3,1,11,2020
25.92,5,0.2,1,12,2,0,0,80,11,0,1,6,2019
419.68,5,0.6,0,9,2,0,0,80,11,0,0,6,2019
11.688,3,0.6,0,9,2,0,0,80,11,0,0,6,2019
31.984,2,0.2,2,13,2,0,0,80,11,0,1,6,2019
177.225,5,0.5,0,16,2,0,0,80,11,0,0,6,2019
4.044,3,0.6,0,9,2,0,0,80,11,0,0,6,2019
7.408,2,0.2,1,2,2,0,0,80,11,0,1,6,2019
2001.86,7,0.0,0,5,2,2,0,239,21,0,1,6,2017
166.72,2,0.0,1,14,2,2,0,239,21,0,1,6,2017
47.88,6,0.0,1,12,2,2,0,239,21,0,1,6,2017
1503.25,5,0.0,1,1,2,2,0,239,21,0,1,6,2017
25.92,4,0.0,1,12,2,2,0,239,21,0,1,6,2017
321.568,2,0.2,0,5,2,0,0,438,3,3,1,12,2019
7.61,1,0.0,1,12,3,0,0,437,3,3,1,9,2019
3347.37,13,0.0,2,0,3,0,0,437,3,3,1,9,2019
80.58,6,0.0,1,14,0,0,0,329,30,1,1,12,2019
361.92,4,0.0,1,7,0,0,0,329,30,1,1,12,2019
12.132,9,0.6,0,9,3,1,0,80,11,0,0,11,2018
82.368,2,0.2,1,14,3,1,0,80,11,0,0,11,2018
53.92,5,0.2,1,14,3,1,0,80,11,0,1,11,2018
647.904,6,0.2,2,13,3,1,0,80,11,0,1,11,2018
20.37,3,0.0,2,0,2,0,0,329,30,1,1,12,2020
221.55,3,0.0,1,14,2,0,0,329,30,1,1,12,2020
17.52,5,0.2,1,3,2,0,0,329,30,1,1,12,2020
1.624,2,0.8,1,1,3,1,0,364,41,0,0,6,2020
3059.982,3,0.4,2,11,2,1,0,207,41,0,0,9,2017
2519.958,7,0.4,2,11,2,1,0,207,41,0,0,9,2017
328.224,4,0.2,2,13,3,0,0,80,11,0,1,6,2019
79.9,2,0.0,2,0,3,0,0,49,3,3,1,11,2018
14.016,3,0.2,1,2,3,1,0,73,31,2,1,6,2020
7.56,6,0.0,1,8,3,0,0,314,28,1,1,1,2019
37.208,1,0.2,1,14,3,1,0,83,33,1,0,12,2020
57.576,3,0.2,1,7,3,1,0,83,33,1,1,12,2020
725.84,4,0.0,1,14,2,1,0,438,3,3,1,12,2020
209.93,7,0.0,2,0,0,0,0,438,3,3,1,7,2018
5.28,3,0.0,0,9,0,0,0,438,3,3,1,7,2018
10.92,3,0.2,1,3,0,0,0,438,3,3,1,7,2018
8.82,2,0.0,1,12,0,1,0,212,3,3,1,9,2020
5.98,1,0.0,1,2,0,1,0,212,3,3,1,9,2020
11.648,2,0.2,1,12,3,1,0,374,36,1,1,10,2020
18.176,4,0.2,1,12,3,1,0,374,36,1,1,10,2020
59.712,6,0.2,1,14,3,1,0,374,36,1,1,10,2020
24.84,3,0.2,1,10,3,1,0,374,36,1,1,10,2020
2.08,5,0.8,1,3,2,0,0,207,41,0,0,9,2018
1114.4,7,0.2,2,13,2,0,0,207,41,0,1,9,2018
1038.84,5,0.2,0,16,3,0,0,266,3,3,1,11,2018
141.76,5,0.2,1,12,3,0,0,389,35,3,1,9,2018
239.8,5,0.2,2,0,3,0,0,389,35,3,1,9,2018
31.104,6,0.2,1,12,3,0,0,389,35,3,1,9,2018
254.058,7,0.7,1,3,2,1,0,472,8,2,0,12,2019
194.528,2,0.2,1,1,2,1,0,472,8,2,1,12,2019
961.48,5,0.2,1,15,2,1,0,472,8,2,0,12,2019
19.096,7,0.2,1,8,2,2,0,94,33,1,1,11,2019
18.496,8,0.2,1,10,2,2,0,94,33,1,1,11,2019
255.984,2,0.2,2,0,2,2,0,94,33,1,1,11,2019
86.97,3,0.5,0,4,2,2,0,94,33,1,0,11,2019
300.416,8,0.2,0,9,0,1,0,92,4,3,1,12,2017
230.352,3,0.2,0,5,0,1,0,92,4,3,1,12,2017
218.352,3,0.2,0,9,0,1,0,92,4,3,0,12,2017
78.6,5,0.7,1,3,0,1,0,92,4,3,0,12,2017
27.552,3,0.2,1,8,0,1,0,92,4,3,1,12,2017
32.4,5,0.0,1,12,3,1,0,35,28,1,1,10,2019
1082.48,8,0.0,1,14,3,1,0,35,28,1,1,10,2019
56.91,3,0.0,1,12,3,1,0,35,28,1,1,10,2019
77.6,4,0.0,0,9,3,1,0,35,28,1,1,10,2019
14.28,1,0.0,1,3,3,1,0,35,28,1,1,10,2019
219.075,3,0.5,0,16,3,0,0,80,11,0,0,11,2020
26.8,2,0.0,0,9,2,1,0,329,30,1,1,5,2018
9.84,3,0.0,1,2,3,1,0,474,20,0,1,12,2017
45.48,3,0.0,1,3,3,2,0,240,28,1,1,6,2017
289.2,6,0.0,1,2,3,2,0,240,28,1,1,6,2017
4.89,1,0.0,1,2,0,0,0,16,44,2,1,4,2020
15.136,4,0.2,0,9,2,1,0,18,4,3,1,9,2019
466.768,2,0.2,0,5,2,1,0,18,4,3,1,9,2019
15.232,1,0.2,0,9,2,1,0,18,4,3,1,9,2019
6.264,3,0.2,1,10,2,1,0,18,4,3,1,9,2019
87.54,3,0.0,0,9,3,1,0,184,28,1,1,9,2017
178.384,2,0.2,2,13,3,1,0,429,8,2,1,8,2017
15.552,3,0.2,1,12,3,1,0,429,8,2,1,8,2017
99.136,4,0.2,1,2,0,1,0,374,36,1,1,12,2017
135.882,1,0.1,0,5,3,2,0,329,30,1,1,11,2017
3991.98,2,0.0,2,11,3,2,0,329,30,1,1,11,2017
275.94,6,0.0,2,13,3,2,0,329,30,1,1,11,2017
360.0,4,0.0,2,0,3,2,0,329,30,1,1,11,2017
43.57,1,0.0,1,14,3,2,0,329,30,1,1,11,2017
7.16,2,0.0,1,8,3,1,0,262,3,3,1,9,2017
251.52,6,0.2,1,3,3,1,0,196,3,3,1,4,2019
99.99,1,0.0,2,0,3,1,0,196,3,3,1,4,2019
15.992,1,0.2,0,9,2,1,0,317,40,2,1,11,2020
290.898,3,0.4,2,13,0,0,0,374,36,1,0,8,2019
54.224,2,0.2,1,14,0,0,0,374,36,1,1,8,2019
786.744,4,0.3,0,5,0,0,0,374,36,1,0,8,2019
100.24,10,0.2,1,10,0,0,0,374,36,1,1,8,2019
37.764,6,0.7,1,3,0,0,0,374,36,1,0,8,2019
82.8,2,0.4,2,13,2,0,0,374,36,1,0,4,2019
20.724,2,0.7,1,3,2,0,0,374,36,1,0,4,2019
4.896,3,0.7,1,3,2,0,0,374,36,1,0,4,2019
4.752,1,0.2,1,3,2,0,0,266,3,3,1,9,2018
959.984,2,0.2,2,6,2,0,0,266,3,3,1,9,2018
14.368,4,0.2,1,3,2,0,0,266,3,3,1,9,2018
7.712,2,0.2,1,3,3,1,0,438,3,3,1,7,2017
698.352,3,0.2,0,16,3,1,0,438,3,3,0,7,2017
4.96,4,0.0,1,8,2,0,0,249,42,3,1,6,2018
17.856,4,0.2,1,2,2,1,0,374,36,1,1,4,2017
509.97,10,0.7,1,3,2,1,0,374,36,1,0,4,2017
30.992,13,0.2,1,8,2,1,0,374,36,1,1,4,2017
71.928,12,0.4,2,13,2,1,0,374,36,1,1,4,2017
88.8,4,0.2,1,14,3,0,0,25,41,0,0,12,2018
47.976,3,0.2,2,13,3,0,0,438,3,3,1,6,2020
7.56,3,0.0,1,2,3,0,0,269,19,1,1,7,2020
24.56,2,0.0,1,12,3,0,0,269,19,1,1,7,2020
12.96,2,0.0,1,2,3,0,0,269,19,1,1,7,2020
6.79,1,0.0,2,0,0,2,0,329,30,1,1,9,2019
24.56,2,0.0,1,12,0,2,0,329,30,1,1,9,2019
3.048,1,0.2,1,3,0,2,0,329,30,1,1,9,2019
49.12,4,0.0,1,12,0,2,0,329,30,1,1,9,2019
4355.168,4,0.2,1,3,0,2,0,329,30,1,1,9,2019
388.704,6,0.2,0,4,3,0,0,329,30,1,0,4,2019
8.26,2,0.0,1,7,3,0,0,329,30,1,1,4,2019
17.04,4,0.0,1,2,3,0,0,329,30,1,1,4,2019
34.4,5,0.0,1,12,3,0,0,329,30,1,1,4,2019
36.24,5,0.2,1,12,3,1,0,74,31,2,1,4,2019
647.84,8,0.0,1,1,0,1,0,94,9,2,1,3,2020
20.7,2,0.0,1,10,0,1,0,94,9,2,1,3,2020
20.7,2,0.0,1,10,3,0,0,329,30,1,1,9,2020
488.646,3,0.1,0,5,3,0,0,329,30,1,1,9,2020
5.56,2,0.0,1,2,3,0,0,329,30,1,1,9,2020
47.12,8,0.0,0,9,3,0,0,329,30,1,1,9,2020
211.96,4,0.0,1,14,3,0,0,438,3,3,1,9,2017
23.2,4,0.0,1,3,1,1,0,274,5,1,1,10,2019
7.36,2,0.0,1,15,1,1,0,274,5,1,1,10,2019
104.79,7,0.0,1,14,1,1,0,274,5,1,1,10,2019
1043.92,4,0.0,0,4,1,1,0,274,5,1,1,10,2019
25.92,5,0.2,1,12,3,0,0,189,41,0,1,5,2020
53.424,3,0.2,1,14,3,0,0,189,41,0,1,5,2020
8.16,5,0.7,1,3,3,0,0,489,1,3,0,7,2017
1023.936,8,0.2,2,0,3,0,0,489,1,3,1,7,2017
9.24,1,0.2,1,2,3,0,0,489,1,3,1,7,2017
479.04,10,0.2,2,0,3,0,0,489,1,3,0,7,2017
99.136,4,0.2,1,12,0,1,0,393,11,0,1,9,2019
1488.424,7,0.3,0,16,3,1,0,156,19,1,0,8,2020
8.652,3,0.8,1,1,3,0,0,207,41,0,0,4,2018
23.832,3,0.2,1,14,3,0,0,207,41,0,1,4,2018
12.176,4,0.8,1,3,3,0,0,207,41,0,0,4,2018
50.96,7,0.0,1,12,0,1,0,438,3,3,1,10,2019
49.536,3,0.2,1,3,0,1,0,438,3,3,1,10,2019
41.9,2,0.0,2,0,2,1,0,474,20,0,1,6,2018
375.4575,3,0.45,0,16,3,0,0,369,8,2,0,11,2018
83.976,3,0.2,2,0,3,0,0,369,8,2,0,11,2018
482.34,4,0.7,2,11,3,1,0,374,36,1,0,12,2018
2.96,1,0.2,0,9,3,1,0,374,36,1,1,12,2018
2.624,1,0.2,1,2,0,0,0,83,33,1,1,11,2017
23.36,4,0.2,1,3,3,0,0,329,30,1,1,12,2020
39.98,2,0.0,2,0,3,0,0,329,30,1,1,12,2020
246.384,2,0.2,2,13,2,0,0,121,45,3,1,9,2017
1799.97,3,0.0,2,6,2,0,0,121,45,3,1,9,2017
12.462,3,0.8,1,3,2,1,0,371,11,0,0,6,2017
75.792,3,0.2,1,3,3,2,0,245,26,3,1,6,2020
49.96,2,0.0,1,14,2,1,0,504,37,1,1,10,2020
12.96,2,0.0,1,12,2,1,0,504,37,1,1,10,2020
70.12,4,0.0,1,15,3,2,0,215,20,0,1,10,2018
35.952,3,0.2,1,14,2,0,0,207,41,0,1,9,2019
2396.2656,4,0.32,0,4,2,0,0,207,41,0,0,9,2019
131.136,4,0.2,1,14,2,0,0,207,41,0,0,9,2019
57.584,2,0.2,2,0,2,0,0,207,41,0,1,9,2019
9.568,2,0.2,1,12,0,0,0,295,8,2,1,12,2017
39.072,6,0.2,1,2,3,1,0,521,31,2,1,4,2017
35.91,3,0.0,1,1,3,0,0,329,30,1,1,12,2020
179.95,5,0.0,2,0,3,0,0,438,3,3,1,12,2020
1199.976,3,0.2,2,6,3,0,0,438,3,3,1,12,2020
27.15,5,0.0,1,12,3,0,0,438,3,3,1,12,2020
1004.024,7,0.2,0,16,3,0,0,438,3,3,0,12,2020
9.68,1,0.0,1,12,3,0,0,438,3,3,1,12,2020
28.35,9,0.0,1,10,3,0,0,438,3,3,1,12,2020
55.98,1,0.0,1,12,3,0,0,438,3,3,1,12,2020
1336.829,13,0.15,0,4,3,0,0,438,3,3,1,12,2020
113.568,2,0.2,0,5,3,0,0,438,3,3,0,12,2020
139.86,7,0.0,1,12,3,1,0,452,45,3,1,11,2020
307.136,4,0.2,0,5,3,1,0,452,45,3,1,11,2020
95.92,8,0.0,1,2,3,0,0,208,3,3,1,6,2020
383.8,5,0.2,0,5,3,0,0,266,3,3,1,4,2019
5.78,1,0.0,1,12,3,1,0,407,15,2,1,11,2020
9.32,4,0.0,1,2,3,1,0,266,3,3,1,3,2020
